"Species","Site","PlotID","TreeID","DBH..cm.","Year","RW","Species.Model","RW.modeled"
"POGR","Morgan Monroe State Park","MMC","MMC004",41.1,1903,NA,"POGR",0.110040938451108
"POGR","Morgan Monroe State Park","MMC","MMC009",33.2,1903,NA,"POGR",0.0851239375439907
"ACSA","Morgan Monroe State Park","MMC","MMC028",33.2,1903,NA,"ACSA",0.0851239375439907
"QURU","Oak Openings Toledo","OOA","OOA016",28.7,1903,NA,"QURU",0.933455380441291
"PRSE","Oak Openings Toledo","OOA","OOA022",12.5,1903,NA,"PRSE",0.551369452012107
"QURU","Oak Openings Toledo","OOA","OOA023",41.05,1903,NA,"QURU",1.39445518133793
"PRSE","Oak Openings Toledo","OOA","OOA032",22.9,1903,NA,"PRSE",0.773091518779669
"PIEN","Valles Caldera Upper","VUA","VUF039",44.3,1903,NA,"PIEN",0.140754879062655
"PIEN","Valles Caldera Upper","VUA","VUF042",40.2,1903,NA,"PIEN",0.123195552564665
"POTR","Valles Caldera Upper","VUB","VUF121",19.8,1903,NA,"POGR",0.189441465202996
"POGR","Morgan Monroe State Park","MMC","MMC004",41.1,1904,NA,"POGR",0.111032036985335
"POGR","Morgan Monroe State Park","MMC","MMC009",33.2,1904,NA,"POGR",0.085890617753329
"ACSA","Morgan Monroe State Park","MMC","MMC028",33.2,1904,NA,"ACSA",0.085890617753329
"QURU","Oak Openings Toledo","OOA","OOA016",28.7,1904,NA,"QURU",0.896338994853277
"PRSE","Oak Openings Toledo","OOA","OOA022",12.5,1904,NA,"PRSE",0.529445703313312
"QURU","Oak Openings Toledo","OOA","OOA023",41.05,1904,NA,"QURU",1.33900835733304
"PRSE","Oak Openings Toledo","OOA","OOA032",22.9,1904,NA,"PRSE",0.742351578224305
"PIEN","Valles Caldera Upper","VUA","VUF039",44.3,1904,NA,"PIEN",0.144807597468647
"PIEN","Valles Caldera Upper","VUA","VUF042",40.2,1904,NA,"PIEN",0.126742689876992
"POTR","Valles Caldera Upper","VUB","VUF121",19.8,1904,NA,"POGR",0.188576053065382
"POGR","Morgan Monroe State Park","MMC","MMC004",41.1,1905,NA,"POGR",0.11203174811569
"POGR","Morgan Monroe State Park","MMC","MMC009",33.2,1905,NA,"POGR",0.0866639603749045
"ACSA","Morgan Monroe State Park","MMC","MMC028",33.2,1905,NA,"ACSA",0.0866639603749045
"QURU","Oak Openings Toledo","OOA","OOA016",28.7,1905,NA,"QURU",0.860708114988217
"PRSE","Oak Openings Toledo","OOA","OOA022",12.5,1905,NA,"PRSE",0.508399406813719
"QURU","Oak Openings Toledo","OOA","OOA023",41.05,1905,NA,"QURU",1.28578067651988
"PRSE","Oak Openings Toledo","OOA","OOA032",22.9,1905,NA,"PRSE",0.712841939512584
"PIEN","Valles Caldera Upper","VUA","VUF039",44.3,1905,NA,"PIEN",0.148973359505477
"PIEN","Valles Caldera Upper","VUA","VUF042",40.2,1905,NA,"PIEN",0.130388768502457
"POTR","Valles Caldera Upper","VUB","VUF121",19.8,1905,NA,"POGR",0.187713347447237
"PIEN","Valles Caldera Upper","VUB","VUF127",35.6,1905,NA,"PIEN",0.313689741694267
"POGR","Morgan Monroe State Park","MMC","MMC004",41.1,1906,NA,"POGR",0.11303982707105
"POGR","Morgan Monroe State Park","MMC","MMC009",33.2,1906,NA,"POGR",0.0874437760620781
"ACSA","Morgan Monroe State Park","MMC","MMC028",33.2,1906,NA,"ACSA",0.0874437760620781
"QUAL","Oak Openings Toledo","OOA","OOA013",10.6,1906,NA,"QUAL",0.458966856734426
"QURU","Oak Openings Toledo","OOA","OOA016",28.7,1906,NA,"QURU",0.826512191434695
"PRSE","Oak Openings Toledo","OOA","OOA022",12.5,1906,NA,"PRSE",0.488200704202096
"QURU","Oak Openings Toledo","OOA","OOA023",41.05,1906,NA,"QURU",1.23469662496371
"PRSE","Oak Openings Toledo","OOA","OOA032",22.9,1906,NA,"PRSE",0.684520737417666
"PIEN","Valles Caldera Upper","VUA","VUF038",34.5,1906,NA,"PIEN",0.11145125530578
"PIEN","Valles Caldera Upper","VUA","VUF039",44.3,1906,NA,"PIEN",0.153251460461058
"PIEN","Valles Caldera Upper","VUA","VUF042",40.2,1906,NA,"PIEN",0.134133171642582
"POTR","Valles Caldera Upper","VUB","VUF121",19.8,1906,NA,"POGR",0.186852106240148
"PIEN","Valles Caldera Upper","VUB","VUF127",35.6,1906,NA,"PIEN",0.312250512489406
"POGR","Morgan Monroe State Park","MMC","MMC004",41.1,1907,NA,"POGR",0.114056018261268
"POGR","Morgan Monroe State Park","MMC","MMC009",33.2,1907,NA,"POGR",0.0882298670989815
"ACSA","Morgan Monroe State Park","MMC","MMC028",33.2,1907,NA,"ACSA",0.0882298670989815
"QUAL","Oak Openings Toledo","OOA","OOA013",10.6,1907,NA,"QUAL",0.440746965075662
"QURU","Oak Openings Toledo","OOA","OOA016",28.7,1907,NA,"QURU",0.793701624916377
"PRSE","Oak Openings Toledo","OOA","OOA022",12.5,1907,NA,"PRSE",0.468820298388955
"QURU","Oak Openings Toledo","OOA","OOA023",41.05,1907,NA,"QURU",1.18568210810221
"PRSE","Oak Openings Toledo","OOA","OOA032",22.9,1907,NA,"PRSE",0.657346893618431
"PIEN","Valles Caldera Upper","VUA","VUF038",34.5,1907,NA,"PIEN",0.114643409849226
"PIEN","Valles Caldera Upper","VUA","VUF039",44.3,1907,NA,"PIEN",0.157640844362194
"PIEN","Valles Caldera Upper","VUA","VUF042",40.2,1907,NA,"PIEN",0.137974975057995
"POTR","Valles Caldera Upper","VUB","VUF121",19.8,1907,NA,"POGR",0.185991110113604
"PIEN","Valles Caldera Upper","VUB","VUF127",35.6,1907,NA,"PIEN",0.310811692841211
"POGR","Morgan Monroe State Park","MMC","MMC004",41.1,1908,NA,"POGR",0.115080055047935
"POGR","Morgan Monroe State Park","MMC","MMC009",33.2,1908,NA,"POGR",0.0890220272231859
"ACSA","Morgan Monroe State Park","MMC","MMC028",33.2,1908,NA,"ACSA",0.0890220272231859
"QUAL","Oak Openings Toledo","OOA","OOA013",10.6,1908,NA,"QUAL",0.423269382551097
"QURU","Oak Openings Toledo","OOA","OOA016",28.7,1908,NA,"QURU",0.762227816249367
"PRSE","Oak Openings Toledo","OOA","OOA022",12.5,1908,NA,"PRSE",0.450229483015156
"QURU","Oak Openings Toledo","OOA","OOA023",41.05,1908,NA,"QURU",1.1386645253749
"PRSE","Oak Openings Toledo","OOA","OOA032",22.9,1908,NA,"PRSE",0.631280158074353
"PIEN","Valles Caldera Upper","VUA","VUF038",34.5,1908,NA,"PIEN",0.11791545163895
"PIEN","Valles Caldera Upper","VUA","VUF039",44.3,1908,NA,"PIEN",0.162140077516536
"PIEN","Valles Caldera Upper","VUA","VUF042",40.2,1908,NA,"PIEN",0.141912923911048
"POTR","Valles Caldera Upper","VUB","VUF121",19.8,1908,NA,"POGR",0.185129162457064
"PIEN","Valles Caldera Upper","VUB","VUF127",35.6,1908,NA,"PIEN",0.309371283081273
"POGR","Morgan Monroe State Park","MMC","MMC004",41.1,1909,NA,"POGR",0.116111659520896
"POGR","Morgan Monroe State Park","MMC","MMC009",33.2,1909,NA,"POGR",0.0898200414528213
"ACSA","Morgan Monroe State Park","MMC","MMC028",33.2,1909,NA,"ACSA",0.0898200414528213
"QUAL","Oak Openings Toledo","OOA","OOA013",10.6,1909,NA,"QUAL",0.406507700848519
"QURU","Oak Openings Toledo","OOA","OOA016",28.7,1909,NA,"QURU",0.732043209075988
"PRSE","Oak Openings Toledo","OOA","OOA022",12.5,1909,NA,"PRSE",0.432400167693712
"QURU","Oak Openings Toledo","OOA","OOA023",41.05,1909,NA,"QURU",1.09357283406163
"PRSE","Oak Openings Toledo","OOA","OOA032",22.9,1909,NA,"PRSE",0.606281144417799
"QUVE","Oak Openings Toledo","OOB","OOB032",25.9,1909,NA,"QUVE",0.764040002847128
"QUAL","Oak Openings Toledo","OOB","OOB033",12.5,1909,NA,"QUAL",0.494293770566387
"PIEN","Valles Caldera Upper","VUA","VUF025",25.2,1909,NA,"PIEN",0.0896348048758464
"PIEN","Valles Caldera Upper","VUA","VUF027",25.3,1909,NA,"PIEN",0.089926585264955
"PIEN","Valles Caldera Upper","VUA","VUF038",34.5,1909,NA,"PIEN",0.12126604387085
"PIEN","Valles Caldera Upper","VUA","VUF039",44.3,1909,NA,"PIEN",0.166747321746665
"PIEN","Valles Caldera Upper","VUA","VUF041",27,1909,NA,"PIEN",0.095034726412254
"PIEN","Valles Caldera Upper","VUA","VUF042",40.2,1909,NA,"PIEN",0.145945409338984
"POTR","Valles Caldera Upper","VUB","VUF121",19.8,1909,NA,"POGR",0.184265089400088
"PIEN","Valles Caldera Upper","VUB","VUF127",35.6,1909,NA,"PIEN",0.307927321542395
"POGR","Morgan Monroe State Park","MMC","MMC004",41.1,1910,NA,"POGR",0.117150542281052
"POGR","Morgan Monroe State Park","MMC","MMC009",33.2,1910,NA,"POGR",0.0906236859185613
"ACSA","Morgan Monroe State Park","MMC","MMC028",33.2,1910,NA,"ACSA",0.0906236859185613
"QUAL","Oak Openings Toledo","OOA","OOA013",10.6,1910,NA,"QUAL",0.39043611072026
"QURU","Oak Openings Toledo","OOA","OOA016",28.7,1910,NA,"QURU",0.703101325840107
"PRSE","Oak Openings Toledo","OOA","OOA022",12.5,1910,NA,"PRSE",0.41530489925954
"QURU","Oak Openings Toledo","OOA","OOA023",41.05,1910,NA,"QURU",1.0503376030248
"PRSE","Oak Openings Toledo","OOA","OOA032",22.9,1910,NA,"PRSE",0.582311359748935
"QUVE","Oak Openings Toledo","OOB","OOB032",25.9,1910,NA,"QUVE",0.732187526917103
"QUAL","Oak Openings Toledo","OOB","OOB033",12.5,1910,NA,"QUAL",0.473686890860276
"QUAL","Oak Openings Toledo","OOB","OOB051",20.7,1910,NA,"QUAL",0.618341253801407
"PIEN","Valles Caldera Upper","VUA","VUF025",25.2,1910,NA,"PIEN",0.0921682641902051
"PIEN","Valles Caldera Upper","VUA","VUF027",25.3,1910,NA,"PIEN",0.0924682915292072
"PIEN","Valles Caldera Upper","VUA","VUF030",21.6,1910,NA,"PIEN",0.0819917405190099
"PIEN","Valles Caldera Upper","VUA","VUF038",34.5,1910,NA,"PIEN",0.124693536001675
"PIEN","Valles Caldera Upper","VUA","VUF039",44.3,1910,NA,"PIEN",0.171460307466984
"PIEN","Valles Caldera Upper","VUA","VUF041",27,1910,NA,"PIEN",0.0977208103854399
"PIEN","Valles Caldera Upper","VUA","VUF042",40.2,1910,NA,"PIEN",0.150070444889515
"PIEN","Valles Caldera Upper","VUA","VUF043",21.6,1910,NA,"PIEN",0.0819917405190099
