"","site.spp.uncert.mean","2.5%","97.5%"
"2014",29.5802649575854,26.9665289760911,32.8372620164563
"2013",29.2370702538766,26.6568424382454,32.4504627915471
"2012",28.8265244042807,26.287755880625,31.9851576030708
"2011",28.4883542743417,25.9837667388783,31.601811716391
"2010",28.0515688412813,25.5912365037843,31.1071662845039
"2009",27.4710191155508,25.0693221410557,30.4542821780201
"2008",26.906633010883,24.5618643722423,29.8196570478251
"2007",26.3775478013203,24.0848816799676,29.2262426490642
"2006",25.898967490066,23.6532916744607,28.6896459282117
"2005",25.3057665879473,23.1184797973875,28.0243507527375
"2004",24.7430164599016,22.6102972620714,27.3941758954756
"2003",24.1684654206131,22.0922346507839,26.7498636518896
"2002",23.5936349533104,21.5725590661337,26.1068694049704
"2001",23.0015160941164,21.0373493974052,25.4444249054597
"2000",22.3263294242481,20.4273143154824,24.6887322210913
"1999",21.7632456384735,19.9171110252036,24.0602417529968
"1998",21.1915001156156,19.3993174061824,23.4217770469258
"1997",20.5660842995335,18.8324567088967,22.7236992576744
"1996",20.0914365390545,18.4008591030752,22.1955422726982
"1995",19.6383558285466,17.9891800521359,21.6909995096309
"1994",19.0581933891879,17.4613598862267,21.0457733747357
"1993",18.5965286798947,17.0412447983615,20.5324643559561
"1992",17.8587212753182,16.3728096385776,19.7101477792641
"1991",17.1474772690984,15.7287789822194,18.9196465379178
"1990",16.6935340783729,15.3180907792157,18.4148590031698
"1989",16.1764357028487,14.8510845015052,17.8392525456799
"1988",15.7672869605929,14.4792685217423,17.3854460076173
"1987",15.4518670638,14.1932339909695,17.0351657103506
"1986",14.9156583015482,13.70752812383,16.4387571609808
"1985",14.4435204717368,13.2779858468585,15.9146836713808
"1984",13.9896923359219,12.8637794359193,15.4120993801882
"1983",13.6409875287424,12.5443687553813,15.0269341397874
"1982",13.2136593963447,12.1546695167772,14.5532829034247
"1981",12.6414104967315,11.6333690193626,13.9184829638672
"1980",12.205921954106,11.234508380466,13.4373500683608
"1979",11.6744568733002,10.7486866163698,12.8493149968844
"1978",11.2132168459116,10.3261156105315,12.3398322563627
"1977",10.7560514562922,9.90745269379755,11.8344832120419
"1976",10.3898795187851,9.57096447216749,11.4308003552587
"1975",9.9536074662622,9.17098087697863,10.9488715725543
"1974",9.55932866253917,8.80926838479143,10.5135771388797
"1973",9.21571200202038,8.49477974814208,10.1334183670479
"1972",8.93044414872307,8.23453967270751,9.81691727598222
"1971",8.69925923529346,8.02340156330306,9.56066242060829
"1970",8.46257728456933,7.80649074877823,9.29911504987553
"1969",8.27287540457816,7.63209245479266,9.0900453407731
"1968",8.02078670570941,7.40103717504269,8.81149634241627
"1967",7.75361769185136,7.15632258919694,8.51611364450746
"1966",7.52407109502153,6.94557678817813,8.26284093924103
"1965",7.30847079754331,6.74759608509915,8.0250038292901
"1964",7.07875909551722,6.53641124954422,7.77184721358667
"1963",6.89500160331785,6.36717100680181,7.56965583256159
"1962",6.71867900935812,6.20474224610121,7.37568617322162
"1961",6.57601523556683,6.07344506101171,7.21861278436727
"1960",6.43910050807268,5.94837590182126,7.06689081733174
"1959",6.28829650621118,5.81045865205046,6.89995184551361
"1958",6.15806171062341,5.69154015443422,6.75558785459824
"1957",6.00475494195668,5.5512572162148,6.58596207889602
"1956",5.85491035598876,5.41398590622458,6.42033349881288
"1955",5.73039488383534,5.29979463582847,6.28282949001874
"1954",5.61450036018491,5.19327556437226,6.15508884670694
"1953",5.51211439455951,5.09928512908806,6.04211444543099
"1952",5.40491798867772,5.00089033090464,5.92382459028336
"1951",5.28018376559771,4.88637400187254,5.78621116645072
"1950",5.13414288397632,4.75230728278585,5.6250731669496
"1949",4.98851468468256,4.61848967598708,5.46453171995466
"1948",4.84986688246692,4.49114084472779,5.31170497472447
"1947",4.72130659486722,4.37310413440352,5.17002320430154
"1946",4.59167322584462,4.25414101955396,5.02710366685006
"1945",4.47375747813331,4.14584863233703,4.89717149278668
"1944",4.36320993362525,4.04403981319584,4.77561160290392
"1943",4.28136885029372,3.96861237706207,4.68566945260373
"1942",4.17131518404307,3.86744261474582,4.56449080751799
"1941",4.00899833933584,3.71657504034433,4.38722715169859
"1940",3.91411445835798,3.62921973635798,4.28285878934444
"1939",3.80762234127346,3.53127938436706,4.16563289857718
"1938",3.67608013262998,3.41063672342998,4.02053138318439
"1937",3.53386537062008,3.27974433967252,3.86407151271535
"1936",3.37115721524874,3.12801568189905,3.68682262027534
"1935",3.30125509476252,3.06346572280031,3.61010207093167
"1934",3.19426028127369,2.96463498121104,3.49270776950501
"1933",3.10782421522297,2.88438925652111,3.39823484842191
"1932",3.04282814845,2.82400243536127,3.32723263099858
"1931",2.95897150239218,2.74597830282572,3.23571854129051
"1930",2.89175210740915,2.68334254709883,3.16244939003576
"1929",2.81640773635418,2.61359081922287,3.07991312310371
"1928",2.69898951270275,2.50331018430143,2.9526822102292
"1927",2.60829443217742,2.41948722637,2.85320718515438
"1926",2.51892061397375,2.33670529122048,2.75533914288413
"1925",2.44302388970047,2.26631438072247,2.67231084918334
"1924",2.37540553113027,2.20338676499401,2.59852397004506
"1923",2.30304833165369,2.13613827709824,2.51949415321027
"1922",2.23282575222199,2.07112903696507,2.44255906062487
"1921",2.16501812237634,2.00833802711393,2.36828905781283
"1920",2.10112539311045,1.9492970535697,2.29819386439139
"1919",2.03489708750395,1.88761547863685,2.22595971082904
"1918",1.96996821002449,1.82712843515236,2.15514908724855
"1917",1.90718591233308,1.76883998830163,2.08649849032223
"1916",1.83079310418788,1.69859776327177,2.0023742340716
"1915",1.75319439998544,1.6269361503147,1.91720260226841
"1914",1.6854482808374,1.56400476750401,1.84317021251233
"1913",1.63145834466055,1.51424897081404,1.7838130711013
"1912",1.56633657396238,1.45412308502535,1.71230853235511
"1911",1.48955221442789,1.3827836180443,1.62839680904306
"1910",1.42513775979158,1.32323560755242,1.55774116029335
"1909",0.774132879777401,0.727946406558201,0.833449840909196
"1908",0.724341676519479,0.6814311600928,0.779483016759067
"1907",0.675428504879736,0.635661716548789,0.726548246839113
"1906",0.621245372527739,0.584478034666113,0.668447267175619
"1905",0.578441227953298,0.54459123904475,0.621941615192535
"1904",0.536754500799325,0.50568725362067,0.576715261095043
"1903",0.495109000231316,0.466604256075489,0.531770075249382
