"","VLF","VUF","VLF.LB","VUF.LB","VLF.UB","VUF.UB"
"2011",63.6268162495399,25.5476409377349,63.6268162495399,25.5476409377349,63.6268162495399,25.5476409377349
"2010",63.4624568380615,25.4861355123152,62.5691887206403,25.1274044857569,72.4631894852935,29.1007748343135
"2009",62.608222235875,25.4191527878365,60.8667570605065,24.7121119585886,81.4307715424872,33.0611723117067
"2008",61.890017296713,25.307380978375,59.3348862265333,24.2625650570494,91.3560609618595,37.3563094733247
"2007",61.0648575124056,25.23066924339,57.7399441576756,23.8568874557377,101.949647086032,42.1233738993895
"2006",60.1154890556904,25.13042138435,56.0674895106033,23.4382130046185,113.075050424069,47.2694094292574
"2005",60.0416032029237,25.1109995219112,55.2447095726533,23.1048106923212,126.958974824126,53.097628744792
"2004",59.3927230770111,24.8939640026995,53.9123666939524,22.5969183807143,140.754765075603,58.9961846076181
"2003",58.9630564980815,24.7411439450302,52.8043083909575,22.1569076029997,156.173357659136,65.5309909578564
"2002",58.8304124727399,24.6488806625266,51.9852558620647,21.7808836296821,173.541353311386,72.7106938059941
"2001",59.1185900179307,24.6276031505118,51.5448523415138,21.4725379535187,193.671681662666,80.6796866439771
"2000",58.8701576939588,24.4022314659996,50.6516584287584,20.9955865846466,213.64289862166,88.5569814562909
"1999",58.7755016196961,24.3796824766496,49.9008133344342,20.6985215080221,235.721455064249,97.7756730105799
"1998",57.8043680738307,23.9634801001823,48.4252739513368,20.0752664088735,255.583610616464,105.955189391875
"1997",57.1512469086199,23.6456313133899,47.2475148301245,19.5480829654224,277.933634608824,114.991651259309
"1996",56.2995403814426,23.3221027264069,45.9275240417897,19.0254916188482,300.193378051137,124.355203492983
"1995",56.0476758071984,23.1976269085424,45.1202581278359,18.6748674051572,327.112947477803,135.389095145479
"1994",54.8093533674062,22.7356803248552,43.5490627477286,18.0647555252534,349.142572336972,144.829183793501
"1993",54.0936350725339,22.4568041268329,42.4147706318955,17.6083599278883,374.986710000228,155.67456476809
"1992",53.3690534157493,22.0793485203633,41.2917512942632,17.0828393889624,401.964060554404,166.29683341961
"1991",52.554414247528,21.670338271621,40.120825411969,16.5434601614823,429.170676501356,176.96465404868
"1990",51.7654355444256,21.2492959786153,38.9945742585484,16.006959880959,457.110868785119,187.640344250962
"1989",51.199803065576,20.9791125220115,38.0530514436421,15.5922327869032,487.926979006005,199.928014996106
"1988",50.7914304688505,20.7459967233771,37.240319257362,15.2109821314161,520.849395939979,212.743365599254
"1987",49.6672276963128,20.1477948580342,35.9215762786424,14.5717927778168,547.385242081019,222.049952801825
"1986",48.6742453515687,19.8391310087541,34.7198602872575,14.1514645346698,574.900737462813,234.323736612108
"1985",47.2905327931523,19.4972652039417,33.2704755609968,13.7169798511542,597.212385918306,246.222818471059
"1984",45.9776823687666,18.9981105794428,31.9008418926682,13.1815196119136,619.889594714613,256.140163242206
"1983",45.1225265965705,18.5755905215705,30.8710242906641,12.7086745680686,647.805825234099,266.682224039097
"1982",43.8551164857997,17.9827965070717,29.5850589423572,12.131357461618,669.485510656477,274.522625118706
"1981",42.7861469620103,17.2931500569296,28.4565626061855,11.5014705037618,692.848335487777,280.032933157604
"1980",41.9033601751503,16.7120579893639,27.4687685845935,10.9551990953312,718.415459638381,286.521194762136
"1979",40.9718741904981,16.2499243851972,26.4701861233255,10.4983853305371,742.371079548838,294.433050641934
"1978",39.7662860276322,15.6578941853371,25.317875698368,9.96886202566422,760.169463527591,299.31517905818
"1977",38.6894756477722,15.1650182650742,24.2713549431675,9.51358308347679,779.00915367971,305.346294991543
"1976",38.1012089775726,14.787333079982,23.548626110443,9.13937870255125,806.571803682474,313.035891354398
"1975",37.3784930450566,14.4083034041889,22.7549998858837,8.77137935772014,830.459724509318,320.117658602928
"1974",36.0699122048893,13.8741164882693,21.6233415433312,8.31731327023148,839.8290911431,323.036179699304
"1973",35.3270970471989,13.5211201796336,20.8501636975129,7.98020762199761,860.751448606536,329.444668659111
"1972",34.396148195628,13.0511396354017,19.9799190173731,7.58110214889989,875.336789688593,332.134360081697
"1971",33.6846989457363,12.5713945834606,19.2546741845931,7.18599584756368,893.95725296551,333.631877959785
"1970",33.3836685306532,12.2076147724158,18.7752511536598,6.8656634644206,922.466312084107,337.324023215536
"1969",31.9635806279319,11.6455100714082,17.6839220358392,6.44290433439111,917.694058049813,334.34975636464
"1968",30.682369051179,11.079108912646,16.6944348053893,6.02820014111226,913.564009424261,329.879193559078
"1967",29.4747119013592,10.6136439841391,15.7689344808999,5.67828642904456,908.887715966183,327.284306326927
"1966",28.9658845065832,10.259275626495,15.2333314887268,5.39541426456679,924.034814163982,327.279073588477
"1965",27.7923031854162,9.87082322143137,14.3641729197923,5.1016358978029,915.638651734168,325.201808777058
"1964",26.1757380562874,9.53416786346067,13.2922392218482,4.84152308331707,888.744162479176,323.713356793465
"1963",25.2387415052265,9.32846204929489,12.5885026776496,4.65282191117111,882.221503291784,326.076869198294
"1962",24.5379627479784,9.17588819971554,12.0180633025252,4.49411413545978,881.796717015067,329.744900720133
"1961",23.0338916380359,8.9259757882448,11.0747208600404,4.29161914155461,849.716275720599,329.277701881484
