"year" "month" "agg_NEE_month"
1999 1 1.02808196129032
1999 2 1.14843651428571
1999 3 1.11549646451613
1999 4 1.68215184
1999 5 -3.70876738064516
1999 6 -6.08129856
1999 7 -4.02253455483871
1999 8 -3.8157807483871
1999 9 -1.3899888
1999 10 0.459263380645161
1999 11 1.838484
1999 12 1.26953372903226
2000 1 0.983213883870968
2000 2 1.28324557241379
2000 3 1.61078028387097
2000 4 1.4068584
2000 5 -2.79881512258065
2000 6 -5.4213192
2000 7 -4.88049909677419
2000 8 -3.70349837419355
2000 9 -2.1016944
2000 10 0.819583432258065
2000 11 1.83333744
2000 12 0.931978683870968
2001 1 1.02855298064516
2001 2 1.18438508571429
2001 3 1.26382157419355
2001 4 1.233612
2001 5 -4.28476691612903
2001 6 -5.12792352
2001 7 -4.29115076129032
2001 8 -3.99389156129032
2001 9 -2.61886176
2001 10 1.13976371612903
2001 11 2.24977104
2001 12 1.59225305806452
2002 1 1.09476046451613
2002 2 1.18889794285714
2002 3 1.31233656774194
2002 4 1.54637856
2002 5 -3.22259736774194
2002 6 -5.9383368
2002 7 -4.72152170322581
2002 8 -3.35642121290323
2002 9 -1.35898128
2002 10 -0.539764490322581
2002 11 1.6661664
2002 12 1.07049878709677
2003 1 0.829157109677419
2003 2 0.809987657142857
2003 3 1.57573950967742
2003 4 1.66356576
2003 5 -3.31114621935484
2003 6 -4.90703616
2003 7 -4.73720609032258
2003 8 -3.52520918709677
2003 9 -2.16172944
2003 10 0.298751690322581
2003 11 2.18724624
2003 12 1.34070921290323
2004 1 0.894049083870968
2004 2 0.844273986206897
2004 3 1.44000510967742
2004 4 1.31668416
2004 5 -4.1210751483871
2004 6 -5.98292928
2004 7 -5.20707019354839
2004 8 -4.37015659354839
2004 9 -2.83896432
2004 10 0.668173006451613
2004 11 2.14045776
2004 12 1.08652180645161
2005 1 1.04570895483871
2005 2 1.03837062857143
2005 3 1.01294802580645
2005 4 0.9317232
2005 5 -3.69499494193548
2005 6 -5.64399936
2005 7 -4.5109119483871
2005 8 -3.08530498064516
2005 9 -2.28352896
2005 10 -0.85182735483871
2005 11 1.87777008
2005 12 1.00616144516129
2006 1 1.08512686451613
2006 2 0.817647942857143
2006 3 1.26538792258065
2006 4 1.337544
2006 5 -4.25091762580645
2006 6 -5.8051656
2006 7 -4.63459076129032
2006 8 -3.0090096
2006 9 -2.31931152
2006 10 0.214159122580645
2006 11 1.93539888
2006 12 1.33248449032258
2007 1 0.851973677419355
2007 2 0.721563428571429
2007 3 1.48173212903226
2007 4 1.6611696
2007 5 -4.16747473548387
2007 6 -5.75413488
2007 7 -4.94153233548387
2007 8 -3.25950967741935
2007 9 -1.6420608
2007 10 -1.0117008
2007 11 1.220688
2007 12 0.931782193548387
2008 1 1.09375710967742
2008 2 0.848042813793103
2008 3 1.34918895483871
2008 4 1.94151456
2008 5 -2.17635607741935
2008 6 -5.26732416
2008 7 -4.84868856774194
2008 8 -4.51227344516129
2008 9 -2.39543136
2008 10 -0.764578683870968
2008 11 1.65642768
2008 12 1.10678818064516
2009 1 0.835943690322581
2009 2 1.10288828571429
2009 3 1.68624092903226
2009 4 2.39776704
2009 5 -2.56819540645161
2009 6 -4.81066272
2009 7 -4.67590250322581
2009 8 -3.89047215483871
2009 9 -1.3904064
2009 10 0.798692748387097
2009 11 2.07379152
2009 12 0.976336722580645
2010 1 0.850988438709677
2010 2 0.840891085714286
2010 3 1.67814023225806
2010 4 0.8072136
2010 5 -3.87572841290323
2010 6 -4.89069216
2010 7 -4.03018931612903
2010 8 -2.90061243870968
2010 9 -1.96473456
2010 10 0.59200304516129
2010 11 1.90037664
2010 12 1.08632113548387
2011 1 0.786177290322581
2011 2 1.33302085714286
2011 3 1.48419870967742
2011 4 2.00877984
2011 5 -2.25490761290323
2011 6 -5.47157232
2011 7 -4.84982849032258
2011 8 -3.35874147096774
2011 9 -1.45235808
2011 10 0.817791329032258
2011 11 2.28805488
2011 12 1.71116454193548
2012 1 1.19938529032258
2012 2 1.31768491034483
2012 3 2.22973455483871
2012 4 -0.72964368
2012 5 -5.53186033548387
2012 6 -5.45869584
2012 7 -2.10674276129032
2012 8 -2.61835339354839
2012 9 -2.05004592
2012 10 0.818132748387097
2012 11 1.6565544
2012 12 1.48426978064516
2013 1 1.16118534193548
2013 2 1.04178497142857
2013 3 1.2522816
2013 4 2.41750656
2013 5 -2.56749305806452
2013 6 -5.21294544
2013 7 -4.60783741935484
2013 8 -3.96900696774194
2013 9 -2.47390704
2013 10 -0.0161916387096774
2013 11 1.77830208
2013 12 1.1809472516129
