year,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec
1999,1.028081961,1.148436514,1.115496465,1.68215184,-3.708767381,-6.08129856,-4.022534555,-3.815780748,-1.3899888,0.459263381,1.838484,1.269533729
2000,0.983213884,1.283245572,1.610780284,1.4068584,-2.798815123,-5.4213192,-4.880499097,-3.703498374,-2.1016944,0.819583432,1.83333744,0.931978684
2001,1.028552981,1.184385086,1.263821574,1.233612,-4.284766916,-5.12792352,-4.291150761,-3.993891561,-2.61886176,1.139763716,2.24977104,1.592253058
2002,1.094760465,1.188897943,1.312336568,1.54637856,-3.222597368,-5.9383368,-4.721521703,-3.356421213,-1.35898128,-0.53976449,1.6661664,1.070498787
2003,0.82915711,0.809987657,1.57573951,1.66356576,-3.311146219,-4.90703616,-4.73720609,-3.525209187,-2.16172944,0.29875169,2.18724624,1.340709213
2004,0.894049084,0.844273986,1.44000511,1.31668416,-4.121075148,-5.98292928,-5.207070194,-4.370156594,-2.83896432,0.668173006,2.14045776,1.086521806
2005,1.045708955,1.038370629,1.012948026,0.9317232,-3.694994942,-5.64399936,-4.510911948,-3.085304981,-2.28352896,-0.851827355,1.87777008,1.006161445
2006,1.085126865,0.817647943,1.265387923,1.337544,-4.250917626,-5.8051656,-4.634590761,-3.0090096,-2.31931152,0.214159123,1.93539888,1.33248449
2007,0.851973677,0.721563429,1.481732129,1.6611696,-4.167474735,-5.75413488,-4.941532335,-3.259509677,-1.6420608,-1.0117008,1.220688,0.931782194
2008,1.09375711,0.848042814,1.349188955,1.94151456,-2.176356077,-5.26732416,-4.848688568,-4.512273445,-2.39543136,-0.764578684,1.65642768,1.106788181
2009,0.83594369,1.102888286,1.686240929,2.39776704,-2.568195406,-4.81066272,-4.675902503,-3.890472155,-1.3904064,0.798692748,2.07379152,0.976336723
2010,0.850988439,0.840891086,1.678140232,0.8072136,-3.875728413,-4.89069216,-4.030189316,-2.900612439,-1.96473456,0.592003045,1.90037664,1.086321135
2011,0.78617729,1.333020857,1.48419871,2.00877984,-2.254907613,-5.47157232,-4.84982849,-3.358741471,-1.45235808,0.817791329,2.28805488,1.711164542
2012,1.19938529,1.31768491,2.229734555,-0.72964368,-5.531860335,-5.45869584,-2.106742761,-2.618353394,-2.05004592,0.818132748,1.6565544,1.484269781
2013,1.161185342,1.041784971,1.2522816,2.41750656,-2.567493058,-5.21294544,-4.607837419,-3.969006968,-2.47390704,-0.016191639,1.77830208,1.180947252
