"TreeID","RW","Year","PlotID","Site","Tree","Species","Canopy.Class","Live.Dead","DBH..cm.","Stems","Total.Cores","Basal.Area..cm2.","basal.area..m2.ha.","Density..stems.ha.","notes","Distance","Azimuth","plot","Dated","Pith","RW.modeled"
"MMA001",NA,1903,"MMA","Morgan Monroe State Park","1","ACSA","I","LIVE",29.47,1,2,682.1,0.542800563,7.957747155,NA,8.28,76,"A","Y",NA,0.118726664515896
"MMA001",0.079,1904,"MMA","Morgan Monroe State Park","1","ACSA","I","LIVE",29.47,1,2,682.1,0.542800563,7.957747155,NA,8.28,76,"A","Y",NA,0.116893436387109
"MMA001",0.13,1905,"MMA","Morgan Monroe State Park","1","ACSA","I","LIVE",29.47,1,2,682.1,0.542800563,7.957747155,NA,8.28,76,"A","Y",NA,0.115090177428163
"MMA001",0.16,1906,"MMA","Morgan Monroe State Park","1","ACSA","I","LIVE",29.47,1,2,682.1,0.542800563,7.957747155,NA,8.28,76,"A","Y",NA,0.113318010773939
"MMA001",0.126,1907,"MMA","Morgan Monroe State Park","1","ACSA","I","LIVE",29.47,1,2,682.1,0.542800563,7.957747155,NA,8.28,76,"A","Y",NA,0.11157796805549
"MMA001",0.115,1908,"MMA","Morgan Monroe State Park","1","ACSA","I","LIVE",29.47,1,2,682.1,0.542800563,7.957747155,NA,8.28,76,"A","Y",NA,0.109870993673668
"MMA001",0.134,1909,"MMA","Morgan Monroe State Park","1","ACSA","I","LIVE",29.47,1,2,682.1,0.542800563,7.957747155,NA,8.28,76,"A","Y",NA,0.108197949130065
"MMA001",0.146,1910,"MMA","Morgan Monroe State Park","1","ACSA","I","LIVE",29.47,1,2,682.1,0.542800563,7.957747155,NA,8.28,76,"A","Y",NA,0.106559617397396
"MMA001",0.089,1911,"MMA","Morgan Monroe State Park","1","ACSA","I","LIVE",29.47,1,2,682.1,0.542800563,7.957747155,NA,8.28,76,"A","Y",NA,0.104956707313059
"MMA001",0.2375,1912,"MMA","Morgan Monroe State Park","1","ACSA","I","LIVE",29.47,1,2,682.1,0.542800563,7.957747155,NA,8.28,76,"A","Y",NA,0.103389857981189
"MMA001",0.0895,1913,"MMA","Morgan Monroe State Park","1","ACSA","I","LIVE",29.47,1,2,682.1,0.542800563,7.957747155,NA,8.28,76,"A","Y",NA,0.101859643170055
"MMA001",0.0955,1914,"MMA","Morgan Monroe State Park","1","ACSA","I","LIVE",29.47,1,2,682.1,0.542800563,7.957747155,NA,8.28,76,"A","Y",NA,0.100366575693196
"MMA001",0.22,1915,"MMA","Morgan Monroe State Park","1","ACSA","I","LIVE",29.47,1,2,682.1,0.542800563,7.957747155,NA,8.28,76,"A","Y",NA,0.0989111117641522
"MMA001",0.162,1916,"MMA","Morgan Monroe State Park","1","ACSA","I","LIVE",29.47,1,2,682.1,0.542800563,7.957747155,NA,8.28,76,"A","Y",NA,0.0974936553160984
"MMA001",0.1705,1917,"MMA","Morgan Monroe State Park","1","ACSA","I","LIVE",29.47,1,2,682.1,0.542800563,7.957747155,NA,8.28,76,"A","Y",NA,0.0961145622790838
"MMA001",0.029,1918,"MMA","Morgan Monroe State Park","1","ACSA","I","LIVE",29.47,1,2,682.1,0.542800563,7.957747155,NA,8.28,76,"A","Y",NA,0.0947741448089386
"MMA001",0.0515,1919,"MMA","Morgan Monroe State Park","1","ACSA","I","LIVE",29.47,1,2,682.1,0.542800563,7.957747155,NA,8.28,76,"A","Y",NA,0.0934726754632103
"MMA001",0.084,1920,"MMA","Morgan Monroe State Park","1","ACSA","I","LIVE",29.47,1,2,682.1,0.542800563,7.957747155,NA,8.28,76,"A","Y",NA,0.0922103913207626
"MMA001",0.0535,1921,"MMA","Morgan Monroe State Park","1","ACSA","I","LIVE",29.47,1,2,682.1,0.542800563,7.957747155,NA,8.28,76,"A","Y",NA,0.0909874980428818
"MMA001",0.1585,1922,"MMA","Morgan Monroe State Park","1","ACSA","I","LIVE",29.47,1,2,682.1,0.542800563,7.957747155,NA,8.28,76,"A","Y",NA,0.0898041738749129
