"Species","Site","PlotID","TreeID","DBH..cm.","Year","RW","RW.modeled"
"POGR","Morgan Monroe State Park","MMC","MMC004",41.1,1903,NA,0.0901930526195017
"POGR","Morgan Monroe State Park","MMC","MMC009",33.2,1903,NA,0.0705927129629247
"ACSA","Morgan Monroe State Park","MMC","MMC028",33.2,1903,NA,0.0705927129629247
"PIEN","Valles Caldera Upper","VUA","VUF039",44.3,1903,NA,0.127199822987135
"PIEN","Valles Caldera Upper","VUA","VUF042",40.2,1903,NA,0.112010670310622
"POTR","Valles Caldera Upper","VUB","VUF121",19.8,1903,NA,0.174284348665554
"POGR","Morgan Monroe State Park","MMC","MMC004",41.1,1904,NA,0.09121127980938
"POGR","Morgan Monroe State Park","MMC","MMC009",33.2,1904,NA,0.0713896636997998
"ACSA","Morgan Monroe State Park","MMC","MMC028",33.2,1904,NA,0.0713896636997998
"PIEN","Valles Caldera Upper","VUA","VUF039",44.3,1904,NA,0.130762318214108
"PIEN","Valles Caldera Upper","VUA","VUF042",40.2,1904,NA,0.115147761770191
"POTR","Valles Caldera Upper","VUB","VUF121",19.8,1904,NA,0.173427705027288
"PIEN","Valles Caldera Upper","VUB","VUF127",35.6,1904,NA,0.283103281799655
"POGR","Morgan Monroe State Park","MMC","MMC004",41.1,1905,NA,0.0922406529470704
"POGR","Morgan Monroe State Park","MMC","MMC009",33.2,1905,NA,0.0721953381983366
"ACSA","Morgan Monroe State Park","MMC","MMC028",33.2,1905,NA,0.0721953381983366
"PIEN","Valles Caldera Upper","VUA","VUF038",34.5,1905,NA,0.0991886485379658
"PIEN","Valles Caldera Upper","VUA","VUF039",44.3,1905,NA,0.134421345333331
"PIEN","Valles Caldera Upper","VUA","VUF042",40.2,1905,NA,0.118369858080422
"POTR","Valles Caldera Upper","VUB","VUF121",19.8,1905,NA,0.172574152774056
"PIEN","Valles Caldera Upper","VUB","VUF127",35.6,1905,NA,0.281709943612775
"POGR","Morgan Monroe State Park","MMC","MMC004",41.1,1906,NA,0.0932809367976374
"POGR","Morgan Monroe State Park","MMC","MMC009",33.2,1906,NA,0.0730095523437747
"ACSA","Morgan Monroe State Park","MMC","MMC028",33.2,1906,NA,0.0730095523437747
"PIEN","Valles Caldera Upper","VUA","VUF038",34.5,1906,NA,0.101959252552607
"PIEN","Valles Caldera Upper","VUA","VUF039",44.3,1906,NA,0.1381760927215
"PIEN","Valles Caldera Upper","VUA","VUF042",40.2,1906,NA,0.121676244535366
"POTR","Valles Caldera Upper","VUB","VUF121",19.8,1906,NA,0.171722574061919
"PIEN","Valles Caldera Upper","VUB","VUF127",35.6,1906,NA,0.280319827033197
"POGR","Morgan Monroe State Park","MMC","MMC004",41.1,1907,NA,0.0943318814037303
"POGR","Morgan Monroe State Park","MMC","MMC009",33.2,1907,NA,0.0738321104983461
"ACSA","Morgan Monroe State Park","MMC","MMC028",33.2,1907,NA,0.0738321104983461
"PIEN","Valles Caldera Upper","VUA","VUF038",34.5,1907,NA,0.104799661249707
"PIEN","Valles Caldera Upper","VUA","VUF039",44.3,1907,NA,0.142025440040862
"PIEN","Valles Caldera Upper","VUA","VUF042",40.2,1907,NA,0.125065934578753
"POTR","Valles Caldera Upper","VUB","VUF121",19.8,1907,NA,0.17087187303266
"PIEN","Valles Caldera Upper","VUB","VUF127",35.6,1907,NA,0.278931143182623
"POGR","Morgan Monroe State Park","MMC","MMC004",41.1,1908,NA,0.0953932216827561
"POGR","Morgan Monroe State Park","MMC","MMC009",33.2,1908,NA,0.0746628051859883
"ACSA","Morgan Monroe State Park","MMC","MMC028",33.2,1908,NA,0.0746628051859883
"PIEN","Valles Caldera Upper","VUA","VUF038",34.5,1908,NA,0.107708803684626
"PIEN","Valles Caldera Upper","VUA","VUF039",44.3,1908,NA,0.145967935937642
"PIEN","Valles Caldera Upper","VUA","VUF041",27,1908,NA,0.085354416874639
"PIEN","Valles Caldera Upper","VUA","VUF042",40.2,1908,NA,0.128537650165495
"POTR","Valles Caldera Upper","VUB","VUF121",19.8,1908,NA,0.170020975720621
"PIEN","Valles Caldera Upper","VUB","VUF127",35.6,1908,NA,0.277542138920156
"POGR","Morgan Monroe State Park","MMC","MMC004",41.1,1909,NA,0.0964646770301831
"POGR","Morgan Monroe State Park","MMC","MMC009",33.2,1909,NA,0.075501416781857
"ACSA","Morgan Monroe State Park","MMC","MMC028",33.2,1909,NA,0.075501416781857
"PIEN","Valles Caldera Upper","VUA","VUF025",25.2,1909,NA,0.0829504762704952
"PIEN","Valles Caldera Upper","VUA","VUF027",25.3,1909,NA,0.0832081538988214
"PIEN","Valles Caldera Upper","VUA","VUF038",34.5,1909,NA,0.110685348065443
"PIEN","Valles Caldera Upper","VUA","VUF039",44.3,1909,NA,0.150001775555494
"PIEN","Valles Caldera Upper","VUA","VUF041",27,1909,NA,0.087713195370313
"PIEN","Valles Caldera Upper","VUA","VUF042",40.2,1909,NA,0.132089801960288
"POTR","Valles Caldera Upper","VUB","VUF121",19.8,1909,NA,0.16916883002806
"PIEN","Valles Caldera Upper","VUB","VUF127",35.6,1909,NA,0.276151096802072
"POGR","Morgan Monroe State Park","MMC","MMC004",41.1,1910,NA,0.0975459509299535
"POGR","Morgan Monroe State Park","MMC","MMC009",33.2,1910,NA,0.0763477132074011
"ACSA","Morgan Monroe State Park","MMC","MMC028",33.2,1910,NA,0.0763477132074011
"PIEN","Valles Caldera Upper","VUA","VUF025",25.2,1910,NA,0.08523048272262
"PIEN","Valles Caldera Upper","VUA","VUF027",25.3,1910,NA,0.0854952429703785
"PIEN","Valles Caldera Upper","VUA","VUF029",19.7,1910,NA,0.0718637373878631
"PIEN","Valles Caldera Upper","VUA","VUF030",21.6,1910,NA,0.0762259509278363
"PIEN","Valles Caldera Upper","VUA","VUF038",34.5,1910,NA,0.113727685121133
"PIEN","Valles Caldera Upper","VUA","VUF039",44.3,1910,NA,0.154124777995908
"PIEN","Valles Caldera Upper","VUA","VUF041",27,1910,NA,0.0901241116226641
"PIEN","Valles Caldera Upper","VUA","VUF042",40.2,1910,NA,0.135720469489517
"PIEN","Valles Caldera Upper","VUA","VUF043",21.6,1910,NA,0.0762259509278363
"POTR","Valles Caldera Upper","VUB","VUF121",19.8,1910,NA,0.16831440576657
"PIEN","Valles Caldera Upper","VUB","VUF127",35.6,1910,NA,0.274756335149434
"POGR","Morgan Monroe State Park","MMC","MMC004",41.1,1911,NA,0.0986367305730186
