"","ACSA","NYSY","ASTR","FAGR","FRAX","LITU","POGR","QUAL","QURU","SAAL","TIAM","ULRU"
"2014",0.137978586265859,0.00606776151788163,0.00131729828070859,0.00968827545921291,0.0169261342156957,0.091355789992134,0.000519441749912794,0.0350424338593776,0.0773222464371823,0.00329265359974645,0.0015744739885746,0.00483811894554648
"2013",0.0644170407929447,0.00139792150340667,0.00186955576161571,0.075899727737589,0.0462181370211434,0.0460298496096962,0.00056936448678413,0.0910021129335208,0.1529950938714,0.0111960207173321,0.0011408117787188,0.00864221580796198
"2012",0.0695718706967492,0.00227717558436999,0.00171881623766326,0.0525663272813222,0.0385471161533597,0.0413821142466722,0.000623835042569132,0.0638196593075246,0.129733557458621,0.00808858029373355,0.000651070666795983,0.00695457916511644
"2011",0.0819250143514259,0.00132304980479006,0.00126889697983459,0.0497094118299355,0.0494675697348352,0.0899652533504511,0.000683164885685511,0.0844464456770151,0.136867468381649,0.0108542938589287,0.000912646875078721,0.00445431373485361
"2010",0.118573406235675,0.00169635562076811,0.00315633374954452,0.0665259437814179,0.0625210560015605,0.156932288040282,0.000747664636412682,0.0904089374801043,0.139803223208649,0.00971240833887371,0.00175482297151047,0.00549529726440207
"2009",0.122136813036168,0.00127163811856082,0.0017459209798939,0.0678163707855388,0.0433597672902004,0.144924211076362,0.000817638577412239,0.0944562603879566,0.161301799448479,0.0096128064403404,0.00242444900427523,0.00569714158875367
"2008",0.136824059686023,0.00146432434318935,0.00117257153164835,0.0655933037889667,0.0414628021868362,0.104738614316161,0.000426436210770376,0.0943921405753914,0.149321667730934,0.0115929537654554,0.00150313480066892,0.00567690639617163
"2007",0.101759584047524,0.00163476359413037,0.00165113830482408,0.0635535086668182,0.0581559357103014,0.0811836047557479,0.000425349606657147,0.0870763086644972,0.134679677861103,0.0101382724281042,0.00199482175128167,0.00674544907614549
"2006",0.132264870150477,0.00225168333951048,0.0017402109675437,0.0684395401021325,0.0582413072585553,0.151583559211273,0.00121332428095558,0.0941194642427954,0.142650702669595,0.0111255861326663,0.00201809910847874,0.00744059471218256
"2005",0.147481333629789,0.00610765452482984,0.00479465842526924,0.0646345039114489,0.0458164661312837,0.136097633273532,0.000897167298971061,0.0829340333857855,0.146737751425265,0.012046676078845,0.00113357341271403,0.00793093497267616
"2004",0.137673308936202,0.00369206888672285,0.00304560879034982,0.0693458672354783,0.0474416026174262,0.145989023783782,0.00144742575154112,0.0868434786794898,0.151854698097473,0.010982225454261,0.00179418984544533,0.00669233497401966
"2003",0.163449079548427,0.00383537055365413,0.00444039975060298,0.0701196124844672,0.0513119772716621,0.109632400278278,0.000842956192234207,0.0846991191699491,0.160420676534585,0.0130868308986284,0.00138881529565234,0.00724685630721039
