"PlotID","Site","Plot","Year","Release.Minor","Release.Major","n.Minor","n.Major","n.Plot","p.Minor","p.Major"
"VLF0","VLF","A",1903,NA,NA,0,0,0,NA,NA
"VLF1","VLF","B",1903,NA,NA,0,0,0,NA,NA
"VUF0","VUF","A",1903,NA,NA,0,0,0,NA,NA
"VUF1","VUF","B",1903,NA,NA,0,0,0,NA,NA
"VLF0","VLF","A",1904,NA,NA,0,0,0,NA,NA
"VLF1","VLF","B",1904,NA,NA,0,0,0,NA,NA
"VUF0","VUF","A",1904,NA,NA,0,0,0,NA,NA
"VUF1","VUF","B",1904,NA,NA,0,0,0,NA,NA
"VLF0","VLF","A",1905,NA,NA,0,0,0,NA,NA
"VLF1","VLF","B",1905,NA,NA,0,0,0,NA,NA
"VUF0","VUF","A",1905,NA,NA,0,0,0,NA,NA
"VUF1","VUF","B",1905,NA,NA,0,0,0,NA,NA
"VLF0","VLF","A",1906,NA,NA,0,0,0,NA,NA
"VLF1","VLF","B",1906,NA,NA,0,0,0,NA,NA
"VUF0","VUF","A",1906,NA,NA,0,0,0,NA,NA
"VUF1","VUF","B",1906,NA,NA,0,0,0,NA,NA
"VLF0","VLF","A",1907,NA,NA,0,0,0,NA,NA
"VLF1","VLF","B",1907,NA,NA,0,0,0,NA,NA
"VUF0","VUF","A",1907,NA,NA,0,0,0,NA,NA
"VUF1","VUF","B",1907,NA,NA,0,0,0,NA,NA
"VLF0","VLF","A",1908,NA,NA,0,0,0,NA,NA
"VLF1","VLF","B",1908,NA,NA,0,0,0,NA,NA
"VUF0","VUF","A",1908,NA,NA,0,0,0,NA,NA
"VUF1","VUF","B",1908,NA,NA,0,0,0,NA,NA
"VLF0","VLF","A",1909,NA,NA,0,0,0,NA,NA
"VLF1","VLF","B",1909,NA,NA,0,0,0,NA,NA
"VUF0","VUF","A",1909,NA,NA,0,0,0,NA,NA
"VUF1","VUF","B",1909,NA,NA,0,0,0,NA,NA
"VLF0","VLF","A",1910,NA,NA,0,0,0,NA,NA
"VLF1","VLF","B",1910,NA,NA,0,0,0,NA,NA
"VUF0","VUF","A",1910,NA,NA,0,0,0,NA,NA
"VUF1","VUF","B",1910,NA,NA,0,0,0,NA,NA
"VLF0","VLF","A",1911,NA,NA,0,0,0,NA,NA
"VLF1","VLF","B",1911,NA,NA,0,0,0,NA,NA
"VUF0","VUF","A",1911,NA,NA,0,0,0,NA,NA
"VUF1","VUF","B",1911,NA,NA,0,0,0,NA,NA
"VLF0","VLF","A",1912,NA,NA,0,0,0,NA,NA
"VLF1","VLF","B",1912,NA,NA,0,0,0,NA,NA
"VUF0","VUF","A",1912,NA,NA,0,0,0,NA,NA
"VUF1","VUF","B",1912,NA,NA,0,0,0,NA,NA
"VLF0","VLF","A",1913,NA,NA,0,0,0,NA,NA
"VLF1","VLF","B",1913,NA,NA,0,0,0,NA,NA
"VUF0","VUF","A",1913,NA,NA,0,0,0,NA,NA
"VUF1","VUF","B",1913,NA,NA,0,0,0,NA,NA
"VLF0","VLF","A",1914,NA,NA,0,0,0,NA,NA
"VLF1","VLF","B",1914,NA,NA,0,0,0,NA,NA
"VUF0","VUF","A",1914,NA,NA,0,0,0,NA,NA
"VUF1","VUF","B",1914,NA,NA,0,0,0,NA,NA
"VLF0","VLF","A",1915,NA,NA,0,0,0,NA,NA
"VLF1","VLF","B",1915,NA,NA,0,0,0,NA,NA
"VUF0","VUF","A",1915,NA,NA,0,0,0,NA,NA
"VUF1","VUF","B",1915,NA,NA,0,0,0,NA,NA
"VLF0","VLF","A",1916,NA,NA,0,0,0,NA,NA
"VLF1","VLF","B",1916,NA,NA,0,0,0,NA,NA
"VUF0","VUF","A",1916,NA,NA,0,0,0,NA,NA
"VUF1","VUF","B",1916,NA,NA,0,0,0,NA,NA
"VLF0","VLF","A",1917,NA,NA,0,0,0,NA,NA
"VLF1","VLF","B",1917,NA,NA,0,0,0,NA,NA
"VUF0","VUF","A",1917,NA,NA,0,0,0,NA,NA
"VUF1","VUF","B",1917,NA,NA,0,0,0,NA,NA
"VLF0","VLF","A",1918,NA,NA,0,0,0,NA,NA
"VLF1","VLF","B",1918,NA,NA,0,0,0,NA,NA
"VUF0","VUF","A",1918,NA,NA,0,0,0,NA,NA
"VUF1","VUF","B",1918,NA,NA,0,0,0,NA,NA
"VLF0","VLF","A",1919,NA,NA,0,0,0,NA,NA
"VLF1","VLF","B",1919,NA,NA,0,0,0,NA,NA
"VUF0","VUF","A",1919,NA,NA,0,0,0,NA,NA
"VUF1","VUF","B",1919,NA,NA,0,0,0,NA,NA
"VLF0","VLF","A",1920,NA,NA,0,0,0,NA,NA
"VLF1","VLF","B",1920,NA,NA,0,0,0,NA,NA
"VUF0","VUF","A",1920,NA,NA,0,0,0,NA,NA
"VUF1","VUF","B",1920,NA,NA,0,0,0,NA,NA
"VLF0","VLF","A",1921,NA,NA,0,0,0,NA,NA
"VLF1","VLF","B",1921,NA,NA,0,0,0,NA,NA
"VUF0","VUF","A",1921,NA,NA,0,0,0,NA,NA
"VUF1","VUF","B",1921,NA,NA,0,0,0,NA,NA
"VLF0","VLF","A",1922,NA,NA,0,0,0,NA,NA
"VLF1","VLF","B",1922,NA,NA,0,0,0,NA,NA
"VUF0","VUF","A",1922,NA,NA,0,0,0,NA,NA
"VUF1","VUF","B",1922,NA,NA,0,0,0,NA,NA
"VLF0","VLF","A",1923,NA,NA,0,0,0,NA,NA
"VLF1","VLF","B",1923,NA,NA,0,0,0,NA,NA
"VUF0","VUF","A",1923,NA,NA,0,0,0,NA,NA
"VUF1","VUF","B",1923,NA,NA,0,0,1,0,0
"VLF0","VLF","A",1924,NA,NA,0,0,0,NA,NA
"VLF1","VLF","B",1924,NA,NA,0,0,0,NA,NA
"VUF0","VUF","A",1924,NA,NA,0,0,2,0,0
"VUF1","VUF","B",1924,NA,NA,0,0,1,0,0
"VLF0","VLF","A",1925,NA,NA,0,0,0,NA,NA
"VLF1","VLF","B",1925,NA,NA,0,0,0,NA,NA
"VUF0","VUF","A",1925,NA,NA,0,0,2,0,0
"VUF1","VUF","B",1925,NA,NA,0,0,2,0,0
"VLF0","VLF","A",1926,NA,NA,0,0,0,NA,NA
"VLF1","VLF","B",1926,NA,NA,0,0,0,NA,NA
"VUF0","VUF","A",1926,NA,NA,0,0,2,0,0
"VUF1","VUF","B",1926,NA,NA,0,0,2,0,0
"VLF0","VLF","A",1927,NA,NA,0,0,0,NA,NA
"VLF1","VLF","B",1927,NA,NA,0,0,0,NA,NA
"VUF0","VUF","A",1927,NA,NA,0,0,2,0,0
"VUF1","VUF","B",1927,NA,NA,0,0,2,0,0
