PlotID,Site (Tower),date.sample,latitude,longitude,elevation,Radius1 (m),Radius2 (m),DBH Cutoff1 (cm),Area1 (m2),Area2 (m2),Area1 (ha),Area2 (ha),BA Total (m2/ha),Density Total (stems/ha),BA Live (m2/ha),BA Dead (m2/ha),Density Live (stems/ha),Density Dead (stems/ha),Density Saplings (stems/ha),Total Trees (per plot),Total Cores (per plot),notes
MOA,Missouri Ozark,05.26.2014,,,,13,20,20,530.9291585,1256.637061,0.053092916,0.125663706,27.42,499.5,23.72,3.7,467.67,31.83,683.25,45,80,
MOB,Missouri Ozark,05.26.2014,38.74339,92.19991,244,13,20,20,530.9291585,1256.637061,0.053092916,0.125663706,26.24,453.87,25.28,0.96,378.53,75.34,300.76,42,60,
MOC,Missouri Ozark,05.27.2014,38.74378,92.19926,217,13,20,20,530.9291585,1256.637061,0.053092916,0.125663706,28.96,542.21,22.73,6.23,440.88,101.33,222.16,49,83,
MMA,Morgan Monroe State Park,05.30.2014,39.32349,86.41457,309,13,20,20,530.9291585,1256.637061,0.053092916,0.125663706,33.48,322.03,33.48,0,322.03,0,68.64,35,70,
MMB,Morgan Monroe State Park,05.30.2014,39.32313,86.41406,305,13,20,20,530.9291585,1256.637061,0.053092916,0.125663706,33.48,217.78,32.93,0.54,201.86,15.92,267.75,26,49,
MMC,Morgan Monroe State Park,05.30.2014,,,,13,20,20,530.9291585,1256.637061,0.053092916,0.125663706,31.23,316.99,30.89,0.34,298.16,18.83,251.5,33,66,
OOA,Oak Openings Toledo,06.02.2014,41.55493,83.84351,208,13,20,20,530.9291585,1256.637061,0.053092916,0.125663706,28.2,540.09,26.35,1.84,478.55,61.54,754.51,46,0,
OOB,Oak Openings Toledo,06.02.2014,41.55481,83.84411,230,13,20,20,530.9291585,1256.637061,0.053092916,0.125663706,33.04,579.88,30.37,2.67,510.38,69.5,725.17,51,0,
OOC,Oak Openings Toledo,06.02.2014,41.55491,83.84307,,13,20,20,530.9291585,1256.637061,0.053092916,0.125663706,29.29,517.54,27.29,2,455.99,61.54,280.85,50,0,
MAA,Michigan AmerifluxTower,06.04.2014,45.55842,84.71372,257,13,20,20,530.9291585,1256.637061,0.053092916,0.125663706,25.23,579.88,21.42,3.81,497.38,82.5,39.3,51,102,
