Site,Transect,Plot_Distance,Plot_Name,Plot_Radius,Tree_Tag_Number,Distance_From_Center,Bearing_From_Center,Species,Year,Start_Date,End_Date,Status,Multiple_Stems,Height,DBH_1,Percent_Dead,Decay_Class,Notes
MCON,Main,35,1,10,801,10,225,PIEN,2012,20-Jul-12,23-Jul-12,1,No,18.33333333,36.5,20,,
MCON,Main,35,1,10,802,2.5,225,PIEN,2012,20-Jul-12,23-Jul-12,2,No,6.233333333,10.2,100,,
MCON,Main,35,1,10,803,9.05,225,PIEN,2012,20-Jul-12,23-Jul-12,1,No,16.6,25.9,15,,
MCON,Main,35,1,10,804,9.65,225,PIEN,2012,20-Jul-12,23-Jul-12,1,No,17.16666667,33.4,20,,
MCON,Main,35,1,10,805,7.1,270,ABLA,2012,20-Jul-12,23-Jul-12,1,No,11,20.5,25,,
MCON,Main,35,1,10,806,4.25,270,PIEN,2012,20-Jul-12,23-Jul-12,1,No,16.86666667,28.2,25,,
MCON,Main,35,1,10,807,9.25,270,ABLA,2012,20-Jul-12,23-Jul-12,1,No,10.6,22.3,20,,
MCON,Main,35,1,10,808,10,270,PIEN,2012,20-Jul-12,23-Jul-12,2,No,4.766666667,9.2,100,,
MCON,Main,35,1,10,809,7.65,315,PIEN,2012,20-Jul-12,23-Jul-12,1,No,19.8,38.2,15,,
MCON,Main,35,1,10,810,9.1,0,ABLA,2012,20-Jul-12,23-Jul-12,1,No,5.333333333,17.7,55,,
MCON,Main,35,1,10,811,2.9,0,PIEN,2012,20-Jul-12,23-Jul-12,1,Yes,12.36666667,22.9,15,,"one tree, 2 trunks"
MCON,Main,35,1,10,812,2.8,0,PIEN,2012,20-Jul-12,23-Jul-12,1,Yes,4.233333333,16.8,90,,"one tree, 2 trunks"
MCON,Main,35,1,10,813,6.3,0,ABLA,2012,20-Jul-12,23-Jul-12,1,No,5.7,16.7,15,,
MCON,Main,35,1,10,814,4.4,0,ABLA,2012,20-Jul-12,23-Jul-12,2,No,6.866666667,11.8,100,,
MCON,Main,35,1,10,815,9.7,0,PIEN,2012,20-Jul-12,23-Jul-12,1,No,7.466666667,13.4,50,,
MCON,Main,35,1,10,816,8.93,0,ABLA,2012,20-Jul-12,23-Jul-12,1,No,5.1,8.1,5,,
MCON,Main,35,1,10,817,3.05,0,PIEN,2012,20-Jul-12,23-Jul-12,1,No,20.9,55.5,20,,
MCON,Main,35,1,10,818,3.1,0,PIEN,2012,20-Jul-12,23-Jul-12,1,No,15.7,24.7,20,,
MCON,Main,35,1,10,819,4.1,0,PIEN,2012,20-Jul-12,23-Jul-12,1,No,18.46666667,36.2,10,,
MCON,Main,35,1,10,820,9.4,0,ABLA,2012,20-Jul-12,23-Jul-12,1,No,5.8,12.2,15,,
MCON,Main,35,1,10,821,9.9,0,ABLA,2012,20-Jul-12,23-Jul-12,1,No,10.16666667,17.4,15,,
MCON,Main,35,1,10,822,8.8,45,PIEN,2012,20-Jul-12,23-Jul-12,1,No,20.5,50.7,20,,
MCON,Main,35,1,10,823,8.3,45,PIEN,2012,20-Jul-12,23-Jul-12,1,No,21.96666667,42.4,30,,
MCON,Main,35,1,10,824,4.45,90,PIEN,2012,20-Jul-12,23-Jul-12,1,No,24.5,63.8,25,,
