Site,Transect,Plot_Distance,Plot_Name,Plot_Radius,Tree_Tag_Number,Distance_From_Center,Bearing_From_Center,Species,Year,Start_Date,End_Date,Status,Multiple_Stems,Canopy_Shape,Height,Height_to_Canopy,DBH_1,Percent_Dead,Decay_Class,Notes
PPINE,Main,35,1,10,601,9.25,301,PIPO,2013,15-Aug-13,15-Aug-13,1,No,CN,13.8,5.4,21.5,5,1,
PPINE,Main,35,1,10,602,10,280,PIPO,2013,15-Aug-13,15-Aug-13,1,No,E,19.5,8.3,26.3,10,1,
PPINE,Main,35,1,10,603,9.1,300,PIPO,2013,15-Aug-13,15-Aug-13,1,No,CN,19.5,12.5,32.6,20,1,
PPINE,Main,35,1,10,604,6.5,309,PIPO,2013,15-Aug-13,15-Aug-13,1,No,E,19.6,5.9,40.6,5,1,
PPINE,Main,35,1,10,605,7.1,319,PIPO,2013,15-Aug-13,15-Aug-13,1,No,E,15.5,11.9,17.8,15,1,
PPINE,Main,35,1,10,606,8.7,329,PIPO,2013,15-Aug-13,15-Aug-13,1,No,E,18.4,11.6,32.8,10,1,
PPINE,Main,35,1,10,607,9.25,345,PIPO,2013,15-Aug-13,15-Aug-13,1,No,CN,20.8,12.5,30.6,40,1,
PPINE,Main,35,1,10,608,8.3,354,PIPO,2013,15-Aug-13,15-Aug-13,1,No,E,20.7,8.5,36.5,10,1,
PPINE,Main,35,1,10,609,9.45,176,PIPO,2013,15-Aug-13,15-Aug-13,1,No,E,21,7.1,47.7,5,1,
PPINE,Main,35,1,10,610,8.25,96,PIPO,2013,15-Aug-13,15-Aug-13,1,No,CN,16.5,6.3,32.2,5,1,
PPINE,Main,70,2,10,611,10,7,PIPO,2013,15-Aug-13,15-Aug-13,1,No,CN,24.9,7.4,56.5,5,1,
PPINE,Main,70,2,10,612,3.8,9,PIPO,2013,15-Aug-13,15-Aug-13,1,No,E,10.4,1.6,18.5,30,1,
PPINE,Main,70,2,10,613,6.2,57,PIPO,2013,15-Aug-13,15-Aug-13,1,No,E,18.1,4.8,27.5,5,1,Tree leaning. Height measured along trunk
PPINE,Main,70,2,10,614,8.15,60,PIPO,2013,15-Aug-13,15-Aug-13,1,No,CN,20.2,13.5,25.5,5,1,
PPINE,Main,70,2,10,615,7.75,66,PIPO,2013,15-Aug-13,15-Aug-13,1,No,E,21.8,4.7,37.8,5,1,
PPINE,Main,70,2,10,616,8.6,91,PIPO,2013,15-Aug-13,15-Aug-13,1,No,E,23.7,10.5,34.7,5,1,
PPINE,Main,70,2,10,617,9.7,92,PIPO,2013,15-Aug-13,15-Aug-13,1,No,E,21.3,10.2,38,5,1,
PPINE,Main,70,2,10,618,8.8,93,PIPO,2013,15-Aug-13,15-Aug-13,1,No,E,24.9,5.2,44.9,5,1,
PPINE,Main,70,2,10,619,9,114,PIPO,2013,15-Aug-13,15-Aug-13,1,No,E,15.3,7.1,31.2,10,1,
PPINE,Main,70,2,10,620,9.2,190,PIPO,2013,15-Aug-13,15-Aug-13,1,No,CN,17.7,8.2,47,10,1,
PPINE,Right,35,3,10,461,7.5,102,PIPO,2013,15-Aug-13,15-Aug-13,1,No,E,13.4,3.4,18,5,1,
PPINE,Right,35,3,10,462,9,98,PIPO,2013,15-Aug-13,15-Aug-13,1,No,CN,21,9.5,29,5,1,
PPINE,Right,35,3,10,463,9.7,96,PIPO,2013,15-Aug-13,15-Aug-13,1,No,E,21.9,6.8,35,5,1,
PPINE,Right,35,3,10,464,9,89,PIPO,2013,15-Aug-13,15-Aug-13,1,No,CN,12.1,3.1,21.4,5,1,
PPINE,Right,35,3,10,465,9.9,46,PIPO,2013,15-Aug-13,15-Aug-13,1,No,E,17,8.2,31.3,5,1,
PPINE,Right,35,3,10,466,9.4,40,PIPO,2013,15-Aug-13,15-Aug-13,1,No,CN,20.8,6.6,14.7,5,1,
PPINE,Right,35,3,10,467,3.1,64,PIPO,2013,15-Aug-13,15-Aug-13,1,No,CN,10.4,2.3,14,5,1,
PPINE,Right,35,3,10,468,3.8,65,PIPO,2013,15-Aug-13,15-Aug-13,1,No,CN,20.7,10,37.9,5,1,
PPINE,Right,35,3,10,469,4.1,74,PIPO,2013,15-Aug-13,15-Aug-13,1,No,E,13,2.6,14.1,5,1,
PPINE,Right,35,3,10,470,6.1,74,PIPO,2013,15-Aug-13,15-Aug-13,1,No,E,23,7.5,49.6,5,1,
PPINE,Right,35,3,10,471,8.35,63,PIPO,2013,15-Aug-13,15-Aug-13,1,No,E,17.6,12.6,18,5,1,
PPINE,Right,35,3,10,472,8.25,68,PIPO,2013,15-Aug-13,15-Aug-13,1,No,CN,20.4,13.3,26,10,1,
PPINE,Right,35,3,10,473,9.5,64,PIPO,2013,15-Aug-13,15-Aug-13,1,No,E,15,10.6,16.5,5,1,
PPINE,Right,35,3,10,474,9.6,62,PIPO,2013,15-Aug-13,15-Aug-13,1,No,CN,20.2,14,27.2,20,1,
PPINE,Right,35,3,10,1475,8.4,254,PIPO,2013,15-Aug-13,15-Aug-13,1,No,E,2.2,1.1,2.5,5,1,Combined in 2014
PPINE,Right,35,3,10,1476,4.5,308,PIPO,2013,15-Aug-13,15-Aug-13,1,No,E,1.6,0.4,4.6,10,1,Combined in 2014
PPINE,Left,35,4,10,475,7.65,230,PIPO,2013,15-Aug-13,15-Aug-13,1,No,E,19.3,12.1,22.6,10,1,
PPINE,Left,35,4,10,476,5.33,270,PIPO,2013,15-Aug-13,15-Aug-13,2,No,,,,,100,8,Down
PPINE,Left,35,4,10,477,3.6,239,PIPO,2013,15-Aug-13,15-Aug-13,1,No,CN,19,8.6,19.5,20,1,
PPINE,Left,35,4,10,478,8.6,248,PIPO,2013,15-Aug-13,15-Aug-13,1,No,CN,17,9,27.8,30,1,
PPINE,Left,35,4,10,479,9.6,253,PIPO,2013,15-Aug-13,15-Aug-13,1,No,CN,17.5,8.6,28.2,25,1,
PPINE,Left,35,4,10,480,8.5,256,PIPO,2013,15-Aug-13,15-Aug-13,1,No,E,18.4,11,15.3,50,1,
PPINE,Left,35,4,10,481,4.55,256,PIPO,2013,15-Aug-13,15-Aug-13,1,No,CN,11.9,9,13.9,60,1,
PPINE,Left,35,4,10,482,4.25,266,PIPO,2013,15-Aug-13,15-Aug-13,1,No,CN,20.7,12.9,31,30,1,
PPINE,Left,35,4,10,483,7.5,272,PIPO,2013,15-Aug-13,15-Aug-13,1,No,E,16.5,14,16.3,50,1,
PPINE,Left,35,4,10,484,8.04,288,PIPO,2013,15-Aug-13,15-Aug-13,1,No,E,22,11.9,28,20,1,
PPINE,Left,35,4,10,485,8.55,294,PIPO,2013,15-Aug-13,15-Aug-13,1,No,E,18.4,12.8,17.8,40,1,
