"","VUA","VUB","VLA","VLB","VUA.LB","VUB.LB","VLA.LB","VLB.LB","VUA.UB","VUB.UB","VLA.UB","VLB.UB"
"2011",21.9489185146752,26.7353662888632,79.6926095044473,21.4716716349004,21.9489185146752,26.7353662888632,79.6926095044473,21.4716716349004,21.9489185146752,26.7353662888632,79.6926095044473,21.4716716349004
"2010",21.8977780724877,26.6719005106892,79.5506814120024,21.408477426132,21.7602460675241,26.5043839735645,79.0510524234081,21.2740185411306,22.2801406667568,27.137625254067,80.9397358092054,21.7822962191123
"2009",21.8346232330285,26.6151885080129,78.407741198583,21.1332256406625,21.5588696556465,26.2790602695976,77.4175150380855,20.8663301458404,22.5935380359798,27.5402633456458,81.1329906717026,21.8677616847078
"2008",21.7219339715694,26.5305518111134,77.4230584073887,20.9056915762733,21.3085045248093,26.0256008536219,75.9494800305397,20.5077975161114,22.8407709475499,27.8970674444953,81.4109068491096,21.9824861551811
"2007",21.6616589470819,26.44456621299,76.2107336828698,20.6563609346183,21.1094489657865,25.7704279371768,74.267931059842,20.1297785194302,23.1289511499948,28.2358374128795,81.3730075227604,22.0555574326319
"2006",21.5955967491646,26.3086484367281,74.8612489843849,20.3619922193702,20.9047558520868,25.4670375056647,72.4664454044961,19.7106142030778,23.4011979752701,28.5083064700896,81.1203750703185,22.0644521487846
"2005",21.5844376571696,26.2824475546206,74.7281007739482,20.3450338663946,20.7521206915874,25.2689707458111,71.8465123319517,19.5605095196729,23.7179774693504,28.8803678298662,82.1146901594222,22.3560633137937
"2004",21.4372969782448,25.9911781375602,73.7536568348678,20.1522838783776,20.4684332069441,24.8165006165808,70.4203426497465,19.2414965818942,23.8735764976221,28.9449915332176,82.1355215731471,22.4425258119289
"2003",21.348233895076,25.7619791315,73.1652653779362,20.0164977693281,20.2404340936787,24.4251418312463,69.3685828582848,18.9778042473011,24.0790699347254,29.0574152509825,82.5244631704365,22.5769799977269
"2002",21.2967483109581,25.620984983895,73.0854012718864,19.9602508380047,20.0480834902369,24.1187827624811,68.8002790483431,18.7899471526593,24.3206537829556,29.2588847965581,83.4627293786133,22.7943882776827
