"","VLF","VUF","VLF.LB","VUF.LB","VLF.UB","VUF.UB"
"2011",63.6268162495399,25.5476409377349,63.6268162495399,25.5476409377349,63.6268162495399,25.5476409377349
"2010",63.4661479714953,25.4876178489844,62.6515122246899,25.1604651027672,72.3920835558596,29.0722191268358
"2009",62.6156482717545,25.4221677838528,61.0351710193416,24.7804886030349,81.151184602788,32.9476590560369
"2008",61.901112060548,25.3119177264242,59.5734262034819,24.360106184664,90.8211450843471,37.1375775922413
"2007",61.0798111449685,25.2368477587023,58.0381878338817,23.9801152475451,101.27189612811,41.8433419637506
"2006",60.1340797471236,25.1381929573153,56.4216128488589,23.5862492071379,112.25770247919,46.9277287976087
"2005",60.0643253518429,25.1205025304954,55.6500498727238,23.2743348145683,125.909171244613,52.6585728938991
"2004",59.4194384318069,24.9051615206133,54.3653256891304,22.7867723617489,139.368707755365,58.4152302541538
"2003",58.9933190920732,24.7538422554396,53.2981803245881,22.3641383221325,154.434987585946,64.8015636390418
"2002",58.8643302169671,24.6630915849842,52.5191863974748,22.0045908840805,171.481986635824,71.8478563501149
"2001",59.1563084513327,24.6433158833257,52.1207965595688,21.7124646100034,191.169675008366,79.6374015193937
"2000",58.9115303320401,24.4193808117864,51.2453643796677,21.2416832591645,210.673932358566,87.3263171468218
"1999",58.8206921026343,24.3984271848127,50.5190104266667,20.9549455010343,232.305322964828,96.3586844084059
"1998",57.8522654402997,23.9833365163404,49.0637760857056,20.3399649723337,251.566020214993,104.289650076345
"1997",57.2018772726897,23.6665790089663,47.9103459069123,19.8223212386458,273.207017413854,113.036071047201
"1996",56.3528054469499,23.3441677969399,46.6113343371113,19.3087602538107,294.795150565841,122.118986019455
"1995",56.1046218705111,23.2211963699271,45.8175687289093,18.9634779662573,320.475757094012,132.642021979166
"1994",54.8688550081353,22.760362431089,44.2416905010388,18.3520671283993,341.398024735231,141.616637983053
"1993",54.1558392459954,22.4826279957118,43.1081677405211,17.896221577963,366.240786244225,152.043721759787
"1992",53.4334663335892,22.1059968337805,41.9832562898358,17.3689224056852,392.121149237799,162.224715675243
"1991",52.6201327735193,21.6974367125291,40.8101621513135,16.8277019428538,418.056565070656,172.381850534643
"1990",51.832514478077,21.2768313427072,39.6783235288775,16.2876334707314,444.36145967782,182.406814100502
"1989",51.2683109656046,21.0071836249708,38.7290790445089,15.869235006783,473.187675582919,193.888587371493
"1988",50.8615052822717,20.7746191078268,37.9154808504922,15.4867550338434,504.472434935949,206.054119476587
"1987",49.7382092978015,20.1765889504734,36.584237098776,14.8406049278756,529.066375835451,214.618799982017
"1986",48.7462160923052,19.8684655560893,35.3786851875223,14.4199949127738,555.279338552433,226.326252506368
"1985",47.362875074626,19.5270909759101,33.9098992124121,13.980605819672,576.613693131972,237.730248132164
"1984",46.0504188686393,19.028165510369,32.5245879873288,13.4392532920242,597.795280309721,247.010728990291
"1983",45.1962337197111,18.6059335329498,31.4853774846241,12.9615853473929,624.024359451738,256.892108021758
"1982",43.9288259430289,18.0130210800797,30.1801673000031,12.3753817249823,644.328199109181,264.206866081411
"1981",42.8596479465057,17.3228574188788,29.0342616801031,11.7349628250469,666.487047904861,269.37832333097
"1980",41.976523372701,16.7412372149688,28.0360171920232,11.181431349311,690.386218574529,275.342465894117
"1979",41.044626752909,16.27877890214,27.0235336374483,10.7178494248918,713.040598858255,282.800239040799
"1978",39.8381284585782,15.6861819962981,25.8521342702013,10.179225250924,729.795389523269,287.355449240645
"1977",38.760683526521,15.1929294415314,24.7855260827016,9.71512147581365,747.185376788673,292.872407720238
"1976",38.1720589614822,14.8148304308246,24.0477716377424,9.33310040760016,772.840086600799,299.94438719399
"1975",37.4484686700712,14.4352769377364,23.2414934393757,8.95890823199672,795.200692540539,306.526344749483
"1974",36.1372741068405,13.9000269165852,22.0908102569698,8.49712283979193,803.236808711962,308.961136041381
"1973",35.3927639990088,13.5462535990614,21.3076674554768,8.15531296070687,822.313781281144,314.733006428925
"1972",34.4592709131154,13.0750906718785,20.4270363775407,7.75075460730223,835.530422140089,317.030388023579
"1971",33.7460086651024,12.5942758529413,19.6920056901486,7.34921140513697,852.023294794779,317.981794951478
"1970",33.4440019089655,12.2296772560424,19.207582762554,7.02375686660236,878.018137042668,321.070381176628
"1969",32.0207177311916,11.6663272232538,18.0944524568755,6.59247569213255,872.915426527017,318.035251101518
"1968",30.736087172457,11.0985060105438,17.084477608642,6.1690408529433,868.907799367731,313.754264808725
"1967",29.5247159344412,10.6316500975382,16.1404369451516,5.81206194847944,864.166773417962,311.180598021637
"1966",29.013301365205,10.2760699564535,15.596072436563,5.52389158981545,877.654084851387,310.851724868378
"1965",27.8360640021073,9.88636548443497,14.7092548739946,5.22419655584237,868.832231339894,308.577857237038
"1964",26.2152709095868,9.54856718464381,13.6139109386755,4.95868776988921,843.299602994483,307.160774487041
"1963",25.274539329628,9.34169324175776,12.8959230304382,4.76644719211372,836.818522942972,309.295526157831
"1962",24.5705377028358,9.18806949393919,12.3139873523113,4.60477393327319,835.748682967725,312.525394089742
"1961",23.0621339810993,8.93692011646985,11.3491047799107,4.39794699374449,804.988127237404,311.944878722989
"1960",21.1600357250433,8.69461329386801,10.2221922173444,4.2002768568206,756.787624927792,310.96241187081
"1959",19.3464028318045,8.45934142603312,9.17189656270508,4.01047188062428,708.27553950615,309.698121375854
"1958",17.8470874404192,8.1836497990616,8.30051749363878,3.80614083646405,667.748069755313,306.190933121157
"1957",16.1135745799466,8.03129011137145,7.34934128572952,3.66304147477184,615.309545143774,306.681142711541
"1956",14.9000261206561,7.91249102769839,6.66221616845571,3.53789484868176,579.853103311809,307.924458667708
"1955",13.9575351893273,7.73782615452578,6.11584964692875,3.39052567041627,552.922363873751,306.530993514962
"1954",13.030937795992,7.5481444881983,5.59344566770167,3.23999214390271,524.944465401069,304.073024916595
"1953",11.9889509735474,7.3701962377042,5.03928261162977,3.09789420499834,490.356228390742,301.446026228173
"1952",11.1717673566466,7.09152473595822,4.59634765852563,2.91763264261907,463.405693654212,294.156943518662
